,model,prompt,framerate,video_name,frame,outcome_prediction,outcome_prediction_numeric,true_outcome
0,llavallama3,B,3,6_final.mp4,183,Well,0,1
1,llavallama3,B,3,22_final.mp4,204,Well,0,1
2,llavallama3,B,3,34_final.mp4,210,Poorly,1,1
3,llavallama3,B,3,12_final.mp4,216,Poorly,1,1
4,llavallama3,B,3,15_final.mp4,216,Well,0,1
5,llavallama3,B,3,29_final.mp4,216,Well,0,1
6,llavallama3,B,3,33_final.mp4,219,Well,0,0
7,llavallama3,B,3,44_final.mp4,228,Poorly,1,0
8,llavallama3,B,3,48_final.mp4,240,Well,0,0
9,llavallama3,B,3,7_final.mp4,243,Well,0,1
10,llavallama3,B,3,40_final.mp4,249,Well,0,1
11,llavallama3,B,3,54_final.mp4,258,Well,0,0
12,llavallama3,B,3,19_final.mp4,267,Well,0,0
13,llavallama3,B,3,60_final.mp4,267,Well,0,0
14,llavallama3,B,3,55_final.mp4,267,Well,0,0
15,llavallama3,B,3,59_final.mp4,267,Well,0,0
16,llavallama3,B,3,50_final.mp4,267,Well,0,0
17,llavallama3,B,3,41_final.mp4,270,Well,0,0
18,llavallama3,B,3,57_final.mp4,273,Well,0,0
19,llavallama3,B,3,31_final.mp4,294,Well,0,1
20,llavallama3,B,3,9_final.mp4,294,Poorly,1,1
21,llavallama3,B,3,46_final.mp4,297,Well,0,0
22,llavallama3,B,3,21_final.mp4,327,Well,0,0
23,llavallama3,B,3,53_final.mp4,327,Well,0,0
24,llavallama3,B,3,49_final.mp4,348,Poorly,1,0
25,llavallama3,B,3,24_final.mp4,372,Well,0,0
26,llavallama3,B,3,30_final.mp4,375,Well,0,1
27,llavallama3,B,3,14_final.mp4,387,Well,0,1
28,llavallama3,B,3,11_final.mp4,423,Well,0,1
29,llavallama3,B,3,52_final.mp4,594,Poorly,1,0
30,deepseek_ocr,B,3,6_final.mp4,183,Well,0,1
31,deepseek_ocr,B,3,22_final.mp4,204,Well,0,1
32,deepseek_ocr,B,3,34_final.mp4,210,Well,0,1
33,deepseek_ocr,B,3,12_final.mp4,216,Well,0,1
34,deepseek_ocr,B,3,15_final.mp4,216,Well,0,1
35,deepseek_ocr,B,3,29_final.mp4,216,Well,0,1
36,deepseek_ocr,B,3,33_final.mp4,219,Well,0,0
37,deepseek_ocr,B,3,44_final.mp4,228,Well,0,0
38,deepseek_ocr,B,3,48_final.mp4,240,Well,0,0
39,deepseek_ocr,B,3,7_final.mp4,243,Well,0,1
40,deepseek_ocr,B,3,40_final.mp4,249,Well,0,1
41,deepseek_ocr,B,3,54_final.mp4,258,Well,0,0
42,deepseek_ocr,B,3,19_final.mp4,267,Well,0,0
43,deepseek_ocr,B,3,60_final.mp4,267,Well,0,0
44,deepseek_ocr,B,3,55_final.mp4,267,Well,0,0
45,deepseek_ocr,B,3,59_final.mp4,267,Well,0,0
46,deepseek_ocr,B,3,50_final.mp4,267,Well,0,0
47,deepseek_ocr,B,3,41_final.mp4,270,Well,0,0
48,deepseek_ocr,B,3,57_final.mp4,273,Well,0,0
49,deepseek_ocr,B,3,31_final.mp4,294,well,0,1
50,deepseek_ocr,B,3,9_final.mp4,294,Well,0,1
51,deepseek_ocr,B,3,46_final.mp4,297,Well,0,0
52,deepseek_ocr,B,3,21_final.mp4,327,Well,0,0
53,deepseek_ocr,B,3,53_final.mp4,327,Well,0,0
54,deepseek_ocr,B,3,49_final.mp4,348,Well,0,0
55,deepseek_ocr,B,3,24_final.mp4,372,Well,0,0
56,deepseek_ocr,B,3,30_final.mp4,375,Well,0,1
57,deepseek_ocr,B,3,14_final.mp4,387,Well,0,1
58,deepseek_ocr,B,3,11_final.mp4,423,Well,0,1
59,deepseek_ocr,B,3,52_final.mp4,594,Well,0,0
60,gemma3,B,3,6_final.mp4,183,Poorly,1,1
61,gemma3,B,3,22_final.mp4,204,Poorly,1,1
62,gemma3,B,3,34_final.mp4,210,Poorly,1,1
63,gemma3,B,3,15_final.mp4,216,Poorly,1,1
64,gemma3,B,3,12_final.mp4,216,Poorly,1,1
65,gemma3,B,3,29_final.mp4,216,Poorly,1,1
66,gemma3,B,3,33_final.mp4,219,Poorly,1,0
